Name,Distance,Latitude_Range,Longitude_Range
Drama Mama ,2.7,1.3174243243243242 to 1.2687756756756756,103.94197419868733 to 103.76502580131266
Konjiki Hototogisu ,4.9,1.337244144144144 to 1.2489558558558558,104.01406428650665 to 103.69293571349334
Vivi Vietnamese Cuisine ,3.1,1.3210279279279278 to 1.265172072072072,103.95508148738176 to 103.75191851261823
The Malayan Council ,4.2,1.3309378378378378 to 1.255262162162162,103.99112653129141 to 103.71587346870858
Tribe Restaurant ,0.1,1.2940009009009008 to 1.292199099099099,103.8567768221736 to 103.8502231778264
Din Tai Fung ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
LiHO TEA ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Treasures Yi Dian Xin ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
Putien ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Koji Sushi Bar ,1.1,1.3030099099099097 to 1.28319009009009,103.88954504390965 to 103.81745495609034
Café&Meal MUJI ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Shahi Maharani ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
Tarte by Cheryl Koh ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Sufood ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Beverly Hills Cheesecake ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Anjappar Restaurant ,3.4,1.3237306306306305 to 1.2624693693693694,103.96491195390257 to 103.74208804609742
Food Junction ,3.1,1.3210279279279278 to 1.265172072072072,103.95508148738176 to 103.75191851261823
Wooshi ,3.5,1.3246315315315313 to 1.2615684684684685,103.96818877607618 to 103.73881122392382
Mangiamo ,2.4,1.3147216216216215 to 1.2714783783783783,103.93214373216652 to 103.77485626783347
